DATE,PM2.5,PM10,HCHO,TVOC,TEMP,HUMI,UNIT
2023-09-15 17:34:25, 0.3, 0.4,0.29,0.98, 24, 57,C
2023-09-15 17:35:25, 0.6, 1.1,0.29,0.98, 25, 56,C
2023-09-15 17:36:25, 0.5, 0.8,0.29,0.98, 25, 55,C
2023-09-15 17:37:25, 0.5, 0.9,0.29,0.99, 25, 54,C
2023-09-15 17:38:25, 0.3, 0.6,0.29,0.97, 25, 54,C
2023-09-15 17:39:25, 0.5, 0.7,0.28,0.96, 25, 53,C
2023-09-15 17:40:25, 0.3, 0.4,0.28,0.96, 26, 53,C
2023-09-15 17:41:25, 0.4, 0.7,0.28,0.95, 26, 52,C
2023-09-15 17:42:25, 0.4, 0.6,0.28,0.95, 26, 52,C
2023-09-15 17:43:25, 0.4, 0.6,0.28,0.95, 26, 52,C
2023-09-15 17:44:25, 0.4, 0.7,0.28,0.95, 26, 51,C
2023-09-15 17:45:25, 0.4, 0.5,0.28,0.94, 26, 51,C
2023-09-15 17:46:25, 0.3, 0.5,0.28,0.94, 26, 51,C
2023-09-15 17:47:25, 0.4, 0.7,0.28,0.94, 26, 51,C
2023-09-15 17:48:25, 0.3, 0.6,0.27,0.94, 26, 50,C
2023-09-15 17:49:25, 0.3, 0.6,0.27,0.93, 27, 50,C
2023-09-15 17:50:25, 0.3, 0.5,0.27,0.93, 27, 50,C
2023-09-15 17:51:25, 0.3, 0.4,0.27,0.93, 27, 50,C
2023-09-15 17:52:25, 0.3, 0.4,0.27,0.92, 27, 50,C
2023-09-15 17:53:25, 0.2, 0.4,0.27,0.92, 27, 50,C
2023-09-15 17:54:25, 0.3, 0.5,0.27,0.92, 27, 49,C
2023-09-15 17:55:25, 0.3, 0.5,0.27,0.92, 27, 49,C
2023-09-15 17:56:25, 0.3, 0.5,0.27,0.92, 27, 49,C
2023-09-15 17:57:25, 0.8, 0.9,0.27,0.92, 27, 49,C
2023-09-15 17:58:25, 1.3, 1.5,0.27,0.92, 27, 49,C
2023-09-15 17:59:25, 1.0, 1.3,0.27,0.91, 27, 49,C
2023-09-15 18:00:25, 0.4, 0.7,0.26,0.91, 27, 49,C
2023-09-15 18:01:25, 0.3, 0.6,0.26,0.91, 27, 49,C
2023-09-15 18:02:25, 0.3, 0.5,0.26,0.90, 27, 49,C
2023-09-15 18:03:25, 0.3, 0.6,0.26,0.90, 27, 49,C
2023-09-15 18:04:25, 0.3, 0.6,0.26,0.90, 27, 48,C
2023-09-15 18:05:26, 0.3, 0.5,0.26,0.90, 27, 49,C
2023-09-15 18:06:26, 0.4, 0.7,0.26,0.90, 27, 48,C
2023-09-15 18:07:26, 0.3, 0.6,0.26,0.89, 27, 48,C
2023-09-15 18:08:26, 0.3, 0.4,0.26,0.89, 27, 48,C
2023-09-15 18:09:26, 0.2, 0.3,0.26,0.89, 27, 48,C
2023-09-15 18:10:26, 0.2, 0.2,0.25,0.89, 27, 48,C
2023-09-15 18:11:26, 1.2, 1.3,0.25,0.88, 27, 48,C
2023-09-15 18:12:26, 3.8, 4.2,0.25,0.88, 27, 48,C
2023-09-15 18:13:26, 3.3, 3.5,0.25,0.88, 27, 48,C
2023-09-15 18:14:26, 2.3, 2.8,0.25,0.88, 27, 48,C
2023-09-15 18:15:26, 1.1, 1.4,0.25,0.88, 28, 48,C
2023-09-15 18:16:26, 0.4, 0.7,0.25,0.87, 28, 48,C
2023-09-15 18:17:26, 0.5, 0.8,0.25,0.87, 28, 48,C
2023-09-15 18:18:26, 0.3, 0.4,0.25,0.87, 28, 48,C
2023-09-15 18:19:26, 0.4, 0.5,0.25,0.87, 28, 48,C
2023-09-15 18:20:26, 4.0, 4.2,0.25,0.87, 28, 48,C
2023-09-15 18:21:26,23.5,23.5,0.24,0.86, 28, 48,C
2023-09-15 18:22:26,40.8,40.9,0.25,0.86, 28, 48,C
2023-09-15 18:23:26,36.9,37.3,0.24,0.86, 28, 48,C
2023-09-15 18:24:26,30.4,31.1,0.24,0.85, 28, 48,C
2023-09-15 18:25:26,26.2,26.8,0.24,0.84, 28, 48,C
2023-09-15 18:26:26,25.6,25.9,0.23,0.83, 28, 48,C
2023-09-15 18:27:26,28.3,28.7,0.23,0.83, 28, 48,C
2023-09-15 18:28:26,28.9,29.1,0.23,0.83, 28, 50,C
2023-09-15 18:29:26,21.5,21.8,0.24,0.84, 28, 49,C
2023-09-15 18:30:26,14.8,15.2,0.23,0.84, 28, 48,C
2023-09-15 18:31:26,10.1,10.4,0.23,0.83, 28, 49,C
2023-09-15 18:32:26,10.5,10.8,0.23,0.83, 28, 49,C
2023-09-15 18:33:26,10.8,11.6,0.24,0.84, 28, 49,C
2023-09-15 18:34:26, 7.1, 8.4,0.24,0.84, 28, 49,C
2023-09-15 18:35:26, 2.0, 2.5,0.23,0.84, 28, 50,C
2023-09-15 18:36:26, 0.7, 1.3,0.23,0.83, 28, 51,C
2023-09-15 18:37:26, 0.8, 1.5,0.23,0.82, 28, 50,C
2023-09-15 18:38:26, 0.8, 1.4,0.22,0.81, 28, 51,C
2023-09-15 18:39:26, 0.8, 1.3,0.22,0.80, 28, 51,C
2023-09-15 18:40:26, 1.7, 2.1,0.22,0.80, 28, 52,C
2023-09-15 18:41:26, 3.7, 5.7,0.21,0.79, 28, 52,C
2023-09-15 18:42:26, 1.7, 2.5,0.21,0.78, 28, 52,C
2023-09-15 18:43:26, 1.4, 2.4,0.22,0.80, 28, 53,C
2023-09-15 18:44:26, 1.4, 2.4,0.22,0.80, 28, 53,C
2023-09-15 18:45:26, 1.5, 2.6,0.22,0.80, 28, 53,C
2023-09-15 18:46:26, 2.1, 3.7,0.21,0.78, 28, 54,C
2023-09-15 18:47:26, 2.0, 3.5,0.20,0.76, 29, 53,C
2023-09-15 18:48:26, 1.8, 3.1,0.20,0.76, 29, 54,C
2023-09-15 18:49:26, 1.9, 3.1,0.21,0.77, 29, 54,C
2023-09-15 18:50:26, 2.0, 3.5,0.21,0.77, 29, 54,C
2023-09-15 18:51:26, 2.3, 4.0,0.21,0.77, 29, 54,C
2023-09-15 18:52:26, 2.1, 3.8,0.20,0.76, 29, 54,C
2023-09-15 18:53:26, 2.2, 3.7,0.21,0.77, 29, 53,C
2023-09-15 18:54:26, 2.0, 3.5,0.21,0.78, 29, 53,C
2023-09-15 18:55:26, 2.2, 3.6,0.22,0.79, 29, 53,C
2023-09-15 18:56:26, 2.1, 3.6,0.22,0.79, 29, 54,C
2023-09-15 18:57:26, 2.0, 3.4,0.21,0.79, 29, 54,C
2023-09-15 18:58:26, 2.2, 3.7,0.21,0.79, 29, 53,C
2023-09-15 18:59:26, 2.4, 4.2,0.22,0.79, 29, 54,C
2023-09-15 19:00:26, 2.2, 3.8,0.22,0.79, 29, 53,C
2023-09-15 19:01:26, 2.0, 3.2,0.22,0.81, 29, 53,C
2023-09-15 19:02:26, 2.2, 3.6,0.22,0.81, 29, 53,C
2023-09-15 19:03:26, 2.3, 3.9,0.22,0.81, 29, 53,C
2023-09-15 19:04:26, 2.4, 4.1,0.22,0.81, 30, 54,C
2023-09-15 19:05:26, 2.7, 4.5,0.22,0.79, 30, 54,C
2023-09-15 19:06:26, 3.0, 5.2,0.22,0.79, 30, 54,C
2023-09-15 19:07:26, 2.6, 4.5,0.22,0.79, 30, 53,C
2023-09-15 19:08:26, 2.8, 4.9,0.22,0.80, 30, 53,C
2023-09-15 19:09:26, 2.2, 3.8,0.22,0.80, 30, 53,C
2023-09-15 19:10:26, 2.8, 4.8,0.22,0.81, 30, 53,C
2023-09-15 19:11:26, 2.6, 4.6,0.22,0.80, 30, 53,C
2023-09-15 19:12:26, 2.7, 4.7,0.22,0.80, 30, 53,C
2023-09-15 19:13:26, 2.4, 3.9,0.22,0.80, 30, 52,C
2023-09-15 19:14:26, 2.0, 3.5,0.23,0.82, 30, 51,C
2023-09-15 19:15:26, 1.9, 3.4,0.22,0.80, 30, 51,C
2023-09-15 19:16:26, 2.2, 4.0,0.22,0.80, 30, 50,C
2023-09-15 19:17:26, 2.2, 3.7,0.22,0.80, 30, 49,C
2023-09-15 19:18:26, 2.1, 3.5,0.22,0.79, 30, 49,C
2023-09-15 19:19:26, 2.0, 3.5,0.22,0.79, 30, 49,C
2023-09-15 19:20:26, 2.0, 3.4,0.22,0.79, 30, 48,C
2023-09-15 19:21:26, 1.9, 3.4,0.21,0.78, 30, 48,C
2023-09-15 19:22:26, 1.8, 3.1,0.21,0.78, 30, 47,C
2023-09-15 19:23:26, 1.8, 3.2,0.21,0.78, 30, 47,C
2023-09-15 19:24:26, 1.9, 3.4,0.21,0.78, 30, 47,C
2023-09-15 19:25:26, 1.8, 2.9,0.21,0.77, 30, 47,C
2023-09-15 19:26:26, 1.9, 3.4,0.21,0.77, 30, 47,C
2023-09-15 19:27:26, 1.9, 3.1,0.21,0.77, 30, 46,C
2023-09-15 19:28:26, 2.4, 4.3,0.21,0.76, 30, 46,C
2023-09-15 20:56:43, 0.4, 0.7,0.15,0.63, 27, 53,C
2023-09-15 20:57:43, 0.5, 0.8,0.17,0.67, 27, 53,C
2023-09-15 20:58:43, 0.3, 0.6,0.17,0.67, 27, 53,C
2023-09-15 20:59:43, 0.2, 0.3,0.17,0.68, 27, 53,C
2023-09-15 21:00:43, 0.6, 0.8,0.18,0.70, 27, 67,C
2023-09-15 21:01:43,43.3,54.1,0.11,0.51, 27, 72,C
2023-09-15 21:02:43, 6.4,11.6,0.05,0.21, 28, 72,C
2023-09-15 21:03:43, 6.3,10.3,0.03,0.12, 28, 72,C
2023-09-15 21:04:43, 7.5,12.5,0.02,0.04, 28, 72,C
2023-09-15 21:05:43, 7.7,13.3,0.02,0.04, 28, 72,C
2023-09-15 21:06:43, 7.3,12.6,0.01,0.05, 28, 72,C
2023-09-15 21:07:43, 7.9,14.0,0.01,0.04, 28, 72,C
2023-09-15 21:08:43, 6.7,11.5,0.02,0.04, 28, 72,C
2023-09-15 21:09:43, 6.3,11.1,0.02,0.04, 28, 72,C
2023-09-15 21:10:43, 6.4,11.3,0.02,0.04, 28, 72,C
2023-09-15 21:11:43, 6.5,11.1,0.02,0.04, 28, 72,C
2023-09-15 21:12:43, 5.6, 9.5,0.02,0.04, 28, 72,C
2023-09-15 21:13:43, 6.2,10.8,0.02,0.05, 28, 72,C
2023-09-15 21:14:43, 6.3,11.2,0.02,0.04, 28, 72,C
2023-09-15 21:15:43, 6.6,11.5,0.02,0.04, 28, 72,C
2023-09-15 21:16:43, 5.2, 9.2,0.02,0.05, 28, 72,C
2023-09-15 21:17:43, 6.2,10.9,0.02,0.04, 28, 72,C
2023-09-15 21:18:43, 6.1,10.4,0.02,0.08, 29, 72,C
2023-09-15 21:19:43, 6.4,11.0,0.02,0.08, 29, 72,C
2023-09-15 21:20:43, 6.2,10.8,0.02,0.09, 29, 72,C
2023-09-15 21:21:43, 6.0,10.7,0.02,0.09, 29, 72,C
2023-09-15 21:22:43, 6.0,10.4,0.02,0.09, 29, 72,C
2023-09-15 21:23:43, 5.8,10.2,0.02,0.09, 29, 72,C
2023-09-15 21:24:43, 5.9,10.1,0.02,0.09, 29, 72,C
2023-09-15 21:25:43, 6.0,10.4,0.02,0.09, 29, 72,C
2023-09-15 21:26:43, 5.6, 9.5,0.02,0.09, 29, 72,C
2023-09-15 21:27:43, 6.0,10.4,0.02,0.09, 29, 72,C
2023-09-15 21:28:43, 6.3,10.9,0.02,0.09, 29, 72,C
2023-09-15 21:29:43, 6.6,11.3,0.02,0.09, 29, 72,C
2023-09-15 21:30:43, 6.2,10.6,0.02,0.09, 28, 72,C
2023-09-15 21:31:43, 6.0,10.3,0.02,0.09, 28, 73,C
2023-09-15 21:32:43, 6.7,11.9,0.02,0.09, 29, 73,C
2023-09-15 21:33:43, 6.1,10.5,0.02,0.09, 29, 73,C
2023-09-15 21:34:43, 6.0,10.6,0.02,0.09, 29, 73,C
2023-09-15 21:35:43, 6.1,10.2,0.02,0.09, 29, 73,C
2023-09-15 21:36:43, 5.9,10.3,0.02,0.09, 29, 73,C
2023-09-15 21:37:43, 6.6,11.6,0.02,0.09, 29, 73,C
2023-09-15 21:38:43, 6.1,10.4,0.02,0.09, 29, 73,C
2023-09-15 21:39:43, 6.3,10.9,0.02,0.09, 29, 73,C
2023-09-15 21:40:43, 6.3,11.0,0.02,0.08, 29, 73,C
2023-09-15 21:41:43, 5.8, 9.9,0.02,0.08, 29, 73,C
2023-09-15 21:42:43, 6.0,10.3,0.02,0.04, 29, 73,C
2023-09-15 21:43:43, 5.9,10.2,0.02,0.04, 28, 73,C
2023-09-15 21:44:43, 5.6, 9.6,0.02,0.04, 29, 73,C
2023-09-15 21:45:43, 5.8,10.0,0.02,0.04, 28, 73,C
2023-09-15 21:46:43, 6.2,11.0,0.02,0.08, 29, 73,C
2023-09-15 21:47:43, 7.2,12.4,0.02,0.08, 29, 73,C
2023-09-15 21:48:43, 6.2,10.6,0.02,0.04, 29, 73,C
2023-09-15 21:49:43, 6.1,10.6,0.02,0.08, 29, 73,C
2023-09-15 21:50:43, 6.5,11.6,0.02,0.04, 29, 73,C
2023-09-15 21:51:43, 6.0,10.5,0.02,0.04, 29, 73,C
2023-09-15 21:52:43, 6.2,11.0,0.02,0.04, 29, 73,C
2023-09-15 21:53:43, 6.0,10.4,0.02,0.04, 29, 73,C
2023-09-15 21:54:43, 6.5,11.5,0.02,0.04, 29, 73,C
2023-09-15 21:55:43, 6.5,11.6,0.02,0.04, 29, 74,C
2023-09-15 21:56:43, 7.0,12.6,0.02,0.08, 29, 74,C
2023-09-15 21:57:43, 6.4,11.0,0.02,0.09, 29, 73,C
