DATE,PM2.5,PM10,HCHO,TVOC,TEMP,HUMI,UNIT
2023-07-26 01:33:36, 2.9, 5.3,0.10,0.48, 24, 58,C
2023-07-26 01:34:36, 2.9, 5.1,0.21,0.78, 24, 57,C
2023-07-26 01:35:36, 2.9, 5.2,0.11,0.52, 24, 56,C
2023-07-26 01:36:36, 3.1, 5.6,0.07,0.31, 25, 56,C
2023-07-26 01:37:36, 3.3, 5.8,0.05,0.22, 25, 55,C
2023-07-26 01:38:36, 3.0, 5.1,0.05,0.19, 25, 54,C
2023-07-26 01:39:36, 2.8, 5.1,0.04,0.18, 25, 53,C
2023-07-26 01:40:36, 3.1, 5.4,0.04,0.17, 26, 53,C
2023-07-26 01:41:36, 2.5, 4.0,0.04,0.17, 26, 53,C
2023-07-26 01:42:36, 2.7, 4.7,0.04,0.17, 26, 52,C
2023-07-26 01:43:36, 2.5, 4.2,0.04,0.17, 26, 52,C
2023-07-26 01:44:36, 2.3, 4.0,0.04,0.17, 26, 51,C
2023-07-26 01:45:36, 2.6, 4.7,0.04,0.17, 26, 51,C
2023-07-26 01:46:36, 2.5, 4.5,0.04,0.17, 27, 51,C
2023-07-26 01:47:36, 3.0, 5.4,0.04,0.17, 27, 51,C
2023-07-26 01:48:36, 2.9, 5.1,0.04,0.17, 27, 50,C
2023-07-26 01:49:36, 2.8, 5.0,0.04,0.17, 27, 50,C
2023-07-26 01:50:36, 2.9, 5.0,0.04,0.17, 27, 50,C
2023-07-26 01:51:36, 2.3, 3.9,0.04,0.16, 27, 49,C
2023-07-26 01:52:36, 2.7, 4.1,0.04,0.16, 27, 49,C
2023-07-26 01:53:36, 2.7, 4.6,0.04,0.16, 27, 49,C
2023-07-26 01:54:36, 2.4, 4.1,0.04,0.17, 27, 49,C
2023-07-26 01:55:36, 3.1, 5.3,0.04,0.17, 27, 49,C
2023-07-26 01:56:36, 2.6, 4.5,0.04,0.17, 27, 49,C
2023-07-26 01:57:36, 2.7, 4.9,0.04,0.17, 27, 50,C
2023-07-26 01:58:36, 2.8, 4.7,0.04,0.18, 27, 50,C
2023-07-26 01:59:36, 2.5, 4.1,0.04,0.17, 27, 50,C
2023-07-26 02:00:36, 2.3, 4.1,0.04,0.17, 27, 49,C
2023-07-26 02:01:36, 2.5, 4.4,0.04,0.17, 27, 49,C
2023-07-26 02:02:36, 2.2, 4.0,0.04,0.17, 28, 49,C
2023-07-26 02:03:36, 2.6, 3.8,0.04,0.17, 28, 49,C
2023-07-26 02:04:36,16.8,18.3,0.04,0.17, 28, 49,C
2023-07-26 02:05:36,20.2,21.5,0.04,0.17, 28, 49,C
2023-07-26 02:06:36,59.0,60.5,0.04,0.17, 28, 49,C
2023-07-26 02:07:36,98.7,100.7,0.04,0.16, 28, 49,C
2023-07-26 02:08:36,41.4,45.3,0.04,0.16, 28, 48,C
2023-07-26 02:09:36, 6.2, 9.7,0.04,0.16, 28, 48,C
2023-07-26 02:10:36, 2.3, 3.9,0.04,0.16, 28, 48,C
2023-07-26 02:11:36, 2.0, 3.6,0.04,0.16, 28, 48,C
2023-07-26 02:12:36, 2.1, 3.6,0.04,0.16, 28, 48,C
2023-07-26 02:13:36, 2.2, 3.9,0.04,0.16, 28, 48,C
2023-07-26 02:14:36, 2.2, 3.5,0.04,0.16, 28, 48,C
2023-07-26 02:15:36, 2.0, 3.3,0.04,0.16, 28, 48,C
2023-07-26 02:16:36, 2.0, 3.6,0.04,0.16, 28, 48,C
2023-07-26 02:17:36, 2.1, 3.6,0.04,0.16, 28, 48,C
2023-07-26 02:18:36, 1.8, 3.1,0.04,0.16, 28, 48,C
2023-07-26 02:19:36, 2.0, 3.5,0.04,0.16, 28, 47,C
2023-07-26 02:20:36, 1.9, 3.2,0.04,0.16, 28, 47,C
2023-07-26 02:21:36, 1.8, 3.1,0.04,0.16, 28, 47,C
2023-07-26 02:22:36, 2.7, 4.7,0.04,0.16, 28, 47,C
2023-07-26 02:23:36, 2.1, 3.6,0.04,0.16, 28, 47,C
2023-07-26 02:24:36, 1.9, 3.3,0.04,0.16, 28, 47,C
2023-07-26 02:25:36, 2.0, 3.6,0.04,0.16, 28, 47,C
2023-07-26 02:26:36, 2.2, 4.0,0.04,0.16, 28, 47,C
2023-07-26 02:27:36, 1.9, 3.5,0.04,0.16, 28, 47,C
2023-07-26 02:28:36, 2.0, 3.5,0.04,0.16, 28, 47,C
2023-07-26 02:29:36, 1.7, 2.8,0.04,0.16, 28, 47,C
2023-07-26 02:30:36, 2.1, 3.5,0.04,0.16, 28, 47,C
2023-07-26 02:31:36, 2.0, 3.3,0.04,0.16, 28, 47,C
2023-07-26 02:32:36, 1.9, 3.3,0.04,0.16, 28, 47,C
2023-07-26 02:33:36, 1.8, 3.1,0.04,0.15, 28, 47,C
2023-07-26 02:34:36, 2.0, 3.4,0.04,0.15, 28, 47,C
2023-07-26 02:35:36, 1.8, 3.0,0.04,0.15, 28, 47,C
2023-07-26 02:36:36, 2.0, 3.3,0.04,0.15, 28, 47,C
2023-07-26 02:37:36, 1.5, 2.5,0.04,0.15, 28, 47,C
2023-07-26 02:38:36, 1.6, 2.4,0.04,0.15, 28, 46,C
2023-07-26 02:39:36, 1.7, 3.0,0.04,0.15, 28, 46,C
2023-07-26 02:40:36, 2.0, 3.4,0.04,0.15, 28, 46,C
2023-07-26 02:41:36, 2.3, 4.2,0.04,0.15, 28, 46,C
2023-07-26 02:42:36, 1.9, 3.3,0.04,0.15, 28, 46,C
2023-07-26 02:43:36, 1.6, 2.7,0.04,0.15, 28, 46,C
2023-07-26 02:44:36, 1.6, 2.8,0.04,0.15, 28, 46,C
2023-07-26 02:45:36, 1.4, 2.6,0.04,0.15, 28, 46,C
2023-07-26 02:46:36, 2.1, 3.6,0.04,0.15, 28, 46,C
2023-07-26 02:47:36, 1.7, 3.1,0.04,0.15, 28, 46,C
2023-07-26 02:48:36, 1.9, 3.3,0.04,0.15, 28, 46,C
2023-07-26 02:49:36, 2.3, 3.9,0.04,0.15, 28, 46,C
2023-07-26 02:50:36, 2.0, 3.4,0.04,0.15, 28, 46,C
2023-07-26 02:51:36, 2.0, 3.6,0.04,0.15, 28, 46,C
2023-07-26 02:52:36, 1.6, 2.8,0.04,0.15, 28, 46,C
2023-07-26 02:53:36, 2.1, 3.5,0.04,0.15, 28, 46,C
2023-07-26 02:54:36, 1.7, 2.9,0.04,0.15, 28, 46,C
2023-07-26 02:55:36, 2.0, 3.4,0.04,0.15, 28, 46,C
